time,open,high,low,close
12/8/2020,1097693.60,1122079.57,1088419.23,1122041.94,8.00
12/9/2020,1126377.02,1206356.91,1117651.56,1206356.91,10.00
12/10/2020,1201798.67,1220410.56,1184468.74,1191938.09,19.00
12/11/2020,1179274.09,1179274.09,1122267.06,1153909.91,24.00
12/14/2020,1152997.37,1158120.29,1140152.65,1158120.29,17.00
12/15/2020,1152225.05,1155417.00,1127672.83,1155377.44,18.00
12/16/2020,1153274.64,1166464.45,1148826.40,1166424.99,10.00
12/17/2020,1165333.85,1166835.45,1126344.24,1134720.67,37.00
12/18/2020,1130935.85,1158583.57,1130935.85,1158544.83,6.00
12/21/2020,1163832.63,1230158.38,1160775.30,1230118.82,10.00
12/22/2020,1229917.85,1229917.85,1177335.16,1186683.01,37.00
12/23/2020,1180862.17,1186036.23,1125463.49,1142765.08,39.00
12/24/2020,1152981.22,1152981.22,1141785.85,1145173.35,14.00
12/28/2020,1145721.39,1164026.50,1141131.07,1163987.43,7.00
12/29/2020,1160282.93,1160282.93,1137271.39,1140948.43,25.00
12/30/2020,1137422.55,1150019.14,1121104.40,1121104.40,30.00
12/31/2020,1120244.78,1121496.23,1088569.94,1101582.00,32.00
1/4/2021,1106445.48,1161633.42,1092943.60,1161633.42,6.00
1/5/2021,1181346.30,1181346.30,1131635.98,1154511.15,24.00
1/6/2021,1144301.63,1196537.28,1144301.63,1196537.28,9.00
1/7/2021,1189866.26,1254687.63,1189866.26,1254646.82,3.00
1/8/2021,1247645.01,1247645.01,1138777.71,1166727.50,35.00
1/11/2021,1161662.51,1161662.51,1114481.26,1137636.65,20.00
1/12/2021,1142264.49,1142478.31,1109718.78,1113320.17,22.00
1/13/2021,1109781.67,1120695.70,1102300.70,1120657.73,8.00
1/14/2021,1119203.02,1144021.36,1108962.60,1144021.36,14.00
1/15/2021,1147661.11,1155572.83,1115065.87,1129942.30,31.00
1/19/2021,1123622.14,1123622.14,1072342.55,1106410.69,22.00
1/20/2021,1101114.93,1141965.31,1094994.31,1141927.64,5.00
1/21/2021,1142591.77,1142591.77,1107673.00,1130460.28,15.00
1/22/2021,1128098.30,1129054.09,1107660.79,1107660.79,30.00
